key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
problemima,problemima,problems,проблемы,Situations or matters that cause difficulty or discomfort.,"Ситуации или дела, которые вызывают трудности или дискомфорт.",Situacije ili stvari koje uzrokuju teškoće ili neprijatnosti.,On se suočava sa raznim problemima u životu.,"teškoće, zapleti, izazovi, nedaće",noun,masculine,plural,problem,problema,problemu,problem,problemom,problemu,probleme,problemi,problema,problemima,probleme,problemima,problemima,problemi,1735307637,556000000,1735307637,556000000
proceniti,proceniti,to estimate,оценивать,"To evaluate or calculate the value, amount, or quality of something.","Оценить или рассчитать стоимость, количество или качество чего-либо.","Izračunati ili proceniti vrednost, količinu ili kvalitet nečega.",Moramo proceniti koliko će projekat koštati.,"oceniti, procenjivati, izračunati",verb,,,,,,,,,,,,,,,,,1736800374,52000000,1736800374,52000000
profit,profit,profit,прибыль,"The financial gain especially the difference between the amount earned and the amount spent in buying, operating, or producing something.","Финансовая выгода, особенно разница между суммой заработанной и потраченной на покупку, эксплуатацию или производство чего-либо.","Finansijska dobit, posebno razlika između zarađenog i potrošenog na kupovinu, rad ili proizvodnju nečega.",Kompanija je ostvarila veliki profit ove godine.,"dobit, prihod, zarada",noun,m,s,profit,profita,profitu,profit,profitom,profitu,profite,profiti,profita,profitima,profite,profitima,profitima,profiti,1736852279,454000000,1736852279,454000000
prognozirati,prognozirati,to predict,предсказывать,To make a forecast or estimation about a future event based on current information and reasoning.,Составлять прогноз или оценку о будущем событии на основе текущей информации и рассуждений.,Napraviti prognozu ili procenu o budućem događaju na osnovu trenutnih informacija i razmišljanja.,Meteorolozi često prognoziraju vreme za sledeću nedelju.,"predvideti, pretskazati, predispozicionirati",verb,,,,,,,,,,,,,,,,,1736800565,9000000,1736800565,9000000
progovoriti,progovoriti,to speak,заговорить,To begin to speak or utter words; to start speaking after a period of silence.,Начать говорить или произносить слова; начать говорить после периода молчания.,Početi da govori ili izgovara reči; početi govoriti nakon perioda ćutanja.,"Kada je konačno progovorio, svi su ga pažljivo slušali.","izraziti se, pojaviti se, otvoriti se",verb,,,,,,,,,,,,,,,,,1736796181,655000000,1736796181,655000000
promešati,promešati,to stir,размешать,To mix by stirring.,Перемешивать путём размешивания.,Mešati supstance ili sastojke pomeranjem ili mešanjem.,U šerpi ćete morati stalno da promešate supu kako ne bi zakuvala na dnu.,"mešati, umutiti, izmešati",verb,,,,,,,,,,,,,,,,,1738013200,414000000,1738013200,414000000
pronaći zabavu,,to find entertainment,найти развлечение,"To locate or discover activities that bring joy, leisure, or amusement.","найти или обнаружить занятия, которые приносят радость, отдых или развлечения.","pronaći aktivnosti koje donose radost, odmor ili zabavu.",Pokušavam pronaći zabavu u čitanju knjiga.,"naći razonodu, otkriti zabavu, locirati zabavu",,,,,,,,,,,,,,,,,,1734434859,147000000,1734434859,147000000
proraditi,proraditi,to start working,заработать,To begin functioning or operating effectively.,Начать функционировать или работать эффективно.,Početi da funkcioniše ili radi efikasno.,"Kada sam uključio uređaj, konačno je proradio.","početi funkcionisanje, zaživeti, operisati",verb,,,,,,,,,,,,,,,,,1737106713,970000000,1737106713,970000000
protivotrov,protivotrov,antidote,противоядие,A remedy used to counteract the effects of poison.,"Лекарство, используемое для нейтрализации воздействия яда.",Lek koji se koristi za neutralisanje efekata otrova.,Doktor je brzo dao protivotrov pacijentu nakon ugriza zmije.,"antitoksin, protu-gif",noun,m,s,protivotrov,protivotrova,protivotrovu,protivotrov,protivotrovom,protivotrovu,protivotrove,protivotrovi,protivotrova,protivotrovima,protivotrove,protivotrovima,protivotrovima,protivotrovi,1738857194,90000000,1738857194,90000000
prošetaću,prošetaću,I will take a walk,Я прогуляюсь,The phrase indicates that the speaker intends to go for a walk at some point in the future.,"Эта фраза указывает на то, что говорящий собирается пойти на прогулку в будущем.",Ova fraza označava nameru govornika da će u budućnosti prošetati.,Prošetaću pored reke posle ručka.,"šetati, prolaziti",verb,,,,,,,,,,,,,,,,,1739296456,163000000,1739296456,163000000
pržiti,pržiti,to fry,жарить,To cook food in hot fat or oil.,Готовить еду в горячем жире или масле.,Pripremati hranu u vrelom ulju ili masti.,On voli da prži krompir na tiganju.,"peći, spremati na ulju",verb,,,,,,,,,,,,,,,,,1738013826,76000000,1738013826,76000000
pučina,pučina,open sea,открытое море,"A large and open part of the sea, far from the shore.","Большая и открытая часть моря, далеко от берега.","Veliki i otvoreni deo mora, daleko od obale.",Brodić je isplovio na pučinu.,"otvoreno more, široko more, duboko more",noun,f,s,pučina,pučine,pučini,pučinu,pučinom,pučini,pučino,pučine,pučina,pučinama,pučine,pučinama,pučinama,pučine,1740412850,184000000,1740412850,184000000
puši kurac beži,puši kurac beži,smoke a dick get away,кури хуй убегай,"An offensive expression conveying disdain or dismissal, urging someone to perform an undesirable act and leave immediately.","Оскорбительное выражение, выражающее презрение или игнорирование, побуждая кого-либо совершить нежелательное действие и немедленно уйти.","Uvredljiv izraz koji izražava prezir ili ignorisanje, podstičući nekoga da uradi neželjeno delo i odmah ode.","Kada mu je dosadilo u razgvoru, rekao je: 'Puši kurac, beži odavde!'","odjebi, marš, gubi se",other,,,,,,,,,,,,,,,,,1744652153,133000000,1744652153,133000000
radi,radi,works,работает,To engage in an activity for the purpose of achieving a result particularly in a job.,"Извлекать результат, занимаясь деятельностью, особенно на работе.","Obavljati neku aktivnost s ciljem postizanja rezultata, posebno na poslu.",On radi kao programer u velikoj kompaniji.,"dela, obavlja, funkcioniše",verb,,,,,,,,,,,,,,,,,1735343289,850000000,1735343289,850000000
raditi,raditi,to work,работать,"To perform a task or duty, especially for employment.","Выполнять задание или обязанность, особенно на работе.","Izvršiti zadatak ili obavezu, posebno u okviru zaposlenja.",Ona voli da radi u bašti.,"raditi nešto, izvršavati, obavljati",verb,,,,,,,,,,,,,,,,,1735343275,835000000,1735343275,835000000
raskinuti,raskinuti,terminate,расторгнуть,"To end or dissolve a contract, agreement, or relationship abruptly.","Прекратить или расторгнуть договор, соглашение или отношения внезапно.","Završiti ili prekinuti ugovor, dogovor ili vezu iznenada.","Posle dugog razmišljanja, odlučila je da raskine vezu sa njim.","prekinuti, okončati, završiti",verb,,,,,,,,,,,,,,,,,1735899314,444000000,1735899314,444000000
rasterećenije,,relief,облегчение,The feeling of reassurance and relaxation following release from anxiety or distress.,Чувство облегчения и расслабления после освобождения от беспокойства или стресса.,Osećaj olakšanja i opuštanja nakon oslobađanja od anksioznosti ili stresa.,Posle ispita sam osetio ogromno rasterećenje.,"olakšanje, oslobađanje, spas",,,,,,,,,,,,,,,,,,,,,
rasterećenje,rasterećenje,relief,облегчение,"The state of being free from burden, stress, or things causing discomfort or pressure.","Состояние освобождения от бремени, стресса или вещей, вызывающих дискомфорт или давление.","Stanje slobode od tereta, stresa ili stvari koje izazivaju nelagodnost ili pritisak.","Nakon završetka svih ispita, osećao sam veliko rasterećenje.","oslobađanje, olakšanje, izdvajanje",noun,n,s,rasterećenje,rasterećenja,rasterećenju,rasterećenje,rasterećenjem,rasterećenju,rasterećenje,rasterećenja,rasterećenja,rasterećenjima,rasterećenja,rasterećenjima,rasterećenjima,rasterećenja,1739520227,858000000,1739520227,858000000
razgovori ti,razgovori ti,you talk,ты говоришь,An informal or familiar address where 'you' are engaging in a conversation or discussion.,"Неофициальное обращение, когда 'ты' вступаешь в разговор или обсуждение.",Neformalno obraćanje kada 'ti' učestvuješ u razgovoru ili diskusiji.,Ti često započinješ razgovore na različite teme.,"pričaš, govoriš, diskutuješ",verb,,,,,,,,,,,,,,,,,1736796502,728000000,1736796502,728000000
razmenjavati,razmenjavati,to exchange,обменять,"To give and receive something reciprocally, typically ideas, information, or items.","Обменивать что-то взаимно, обычно идеи, информацию или предметы.","Davati i primati nešto uzajamno, obično ideje, informacije ili predmete.",Mi ćemo razmenjavati poklone za praznike.,"razmenjivati, menjati, trgovati",verb,,,,,,,,,,,,,,,,,1738258696,183000000,1738258696,183000000
razmenjuju,razmenjuju,they exchange,они обмениваются,"The act of exchanging items, ideas, or information between people.","Акт обмена предметами, идеями или информацией между людьми.","Čin razmene predmeta, ideja ili informacija između ljudi.",Oni razmenjuju poklone za praznike.,"razmenjaju, daju, međusobno dele",verb,,,,,,,,,,,,,,,,,1736456737,272000000,1736456737,272000000
razraditi,razraditi,to elaborate,разработать,To develop or expand in detail.,Развить или расширить в деталях.,Razviti ili proširiti u detalje.,On je morao razraditi plan do najsitnijih detalja.,"razviti, proširiti, detaljisati",verb,,,,,,,,,,,,,,,,,1737106805,459000000,1737106805,459000000
rekord,rekord,record,рекорд,A best performance or achievement in a particular activity.,Лучшее выступление или достижение в определенной деятельности.,Najbolji rezultat ili dostignuće u određenoj aktivnosti.,On je postavio novi rekord u trčanju na sto metara.,"rezultat, dostignuće",noun,m,s,rekord,rekorda,rekordu,rekord,rekordom,rekordu,rekorde,rekordi,rekorda,rekordima,rekorde,rekordima,rekordima,rekordi,1737053178,17000000,1737053178,17000000
reći,,to say,сказать,To express something in words or convey information.,выражать что-либо словами или передавать информацию,izraziti nešto rečima ili preneti informaciju,On je hteo nešto da mi reći.,"kazati, iskazati, izreći",,,,,,,,,,,,,,,,,,1731666866,588000000,1731666866,588000000
sam zatekao,sam zatekao,I found,я нашел,"The past tense form of 'zateći,' meaning to find or encounter something unexpectedly.","Прошедшее время глагола 'zateći,' означающее найти или встретить что-то неожиданно.","Prošlo vreme glagola 'zateći,' što znači pronaći ili sresti nešto neočekivano.","Kada sam došao kući, sam zatekao razbacane papire po stolu.","pronašao, otkrio, naišao",verb,,,,,,,,,,,,,,,,,1738003632,714000000,1738003632,714000000
samoće,,loneliness,одиночество,"The state of being alone or isolated, especially from people.","Состояние одиночества, изоляция, особенно от людей.","Stanje kada je neko sam ili izolovan, posebno od drugih ljudi.","U trenucima samoće, čovek razmišlja o životu.","osamljenost, izolacija, pustinja",,,,,,,,,,,,,,,,,,1732201842,361000000,1732201842,361000000
savršeno,,perfectly,совершенно,In a manner that is flawless or without errors.,В совершенной или безошибочной манере.,Na način koji je besprekoran ili bez grešaka.,Ovaj zadatak je urađen savršeno.,"izvanredno, odlično, besprekorno",,,,,,,,,,,,,,,,,,,,,
se udati,se udati,to get married,выйти замуж,To enter into a marital union with a partner.,Вступать в брачный союз с партнером.,Stupiti u bračni savez sa partnerom.,Ona će se udati za Marka sledeće godine.,"oženiti se, stupiti u brak",verb,,,,,,,,,,,,,,,,,1739223783,626000000,1739223783,626000000
se usredsredite,se usredsredite,focus,сфокусироваться,To concentrate one's attention or efforts on a particular object or activity.,Сконцентрировать усилия или внимание на определённом объекте или деятельности.,Usmeriti pažnju ili napore na određeni cilj ili aktivnost.,"Pre nego što zapišete vašu ideju, se usredsredite i fokusirajte na zadatak.","koncentrišite se, fokusirajte se, usmerite se",verb,,,,,,,,,,,,,,,,,1738004532,229000000,1738004532,229000000
se zalaze,se zalaze,advocate,выступают,To speak or act in support of a particular cause or policy.,Выступать или действовать в поддержку определённой цели или политики.,Da govori ili deluje u prilog određenog cilja ili politike.,Oni se zalaze za zaštitu životne sredine.,"zalažu, pomažu, podržavaju",verb,,,,,,,,,,,,,,,,,1739519952,780000000,1739519952,780000000
seliti se,seliti se,to move,переезжать,To change the place of living or residence permanently or temporarily.,Изменять место жительства или проживания на постоянной или временной основе.,Menjati mesto stanovanja ili prebivališta trajno ili privremeno.,Porodica planira da se seli u novi stan sledećeg meseca.,"premestiti se, preseliti se, migrirati",verb,,,,,,,,,,,,,,,,,1739826718,701000000,1739826718,701000000
seći,seći,to cut,резать,To cut refers to the action of dividing something into parts using a sharp tool.,Резать - это действие разделения чего-то на части с использованием острого инструмента.,Seći znači podeliti nešto na delove oštrim alatom.,On voli da seče domaći hleb pre nego što ga servira gostima.,"isekati, preseći, razrezati",verb,,,,,,,,,,,,,,,,,1738012384,902000000,1738012384,902000000
sidro,sidro,anchor,якорь,a heavy object attached to a cable or chain and used to moor a vessel to the sea bottom.,"тяжёлый предмет, прикреплённый к тросу или цепи, используемый для причаливания судна ко дну моря.","težak predmet vezan za uže ili lanac, korišćen za sidrenje plovila na dno mora.",Kapetan je bacio sidro kada su stigli do obale.,"sidrište, privez, veza",noun,n,s,sidro,sidra,sidru,sidro,sidrom,sidru,sidro,sidra,sidara,sidrima,sidra,sidrima,sidrima,sidra,1740411774,551000000,1740411774,551000000
simbol,,symbol,символ,"An object or act that stands for something or suggests something else by reason of relationship, association, or convention.","предмет или действие, которые означают или указывают на нечто другое, будучи связано с ним.",predmet ili znak koji predstavlja nešto drugo svojom prisutnošću ili odnosom.,Ovaj krst je simbol hrišćanstva.,"znak, oznaka, amblem",,,,,,,,,,,,,,,,,,1732269597,193000000,1732269597,193000000
simultanost,simultanost,simultaneity,одновременность,The state or fact of occurring or existing at the same time.,"Состояние или факт, происходящий или существующий одновременно.",Stanje ili činjenica događanja ili postojanja u isto vreme.,Simultanost održavanja dvaju događaja zbunila je prisutne.,"istovremenost, paralelnost",noun,f,s,simultanost,simultanosti,simultanosti,simultanost,simultanošću,simultanosti,simultanosti,simultanosti,simultanosti,simultanostima,simultanosti,simultanostima,simultanostima,simultanosti,1742550701,365000000,1742550701,365000000
sindrom sagorevanja,sindrom sagorevanja,burnout syndrome,синдром выгорания,"A state of emotional, physical, and mental exhaustion caused by excessive and prolonged stress.","Состояние эмоционального, физического и умственного истощения, вызванное чрезмерным и продолжительным стрессом.","Stanje emocionalne, fizičke i mentalne iscrpljenosti uzrokovano prekomernim i dugotrajnim stresom.","Zbog dugih sati na poslu i stalnog pritiska, počela je da oseća sindrom sagorevanja.","iscrpljenost, umor, stres",noun,m,s,sindrom sagorevanja,sindroma sagorevanja,sindromu sagorevanja,sindrom sagorevanja,sindromom sagorevanja,sindromu sagorevanja,sindrome sagorevanja,sindromi sagorevanja,sindroma sagorevanja,sindromima sagorevanja,sindrome sagorevanja,sindromima sagorevanja,sindromima sagorevanja,sindromi sagorevanja,1739519529,173000000,1739519529,173000000
skljocne,,to click,щелкнуть,"To make a short, sharp, or snapping sound, typically by pressing a small button or lever.","совершать резкий звук, обычно при нажатии маленькой кнопки или рычага.","napraviti kratak, oštar zvuk pritiskom na malu dugme ili polugu.",On škljocne prstima kada želi da privuče pažnju.,"škljocnuti, kliknuti, četkati",,,,,,,,,,,,,,,,,,,,,
sklopiti,sklopiti,assemble,собрать,To bring together or combine parts to make a whole.,"Соединить или объединить части, чтобы создать целое.",Spojiti ili sastaviti delove kako bi se formirala celina.,On može brzo sklopiti nameštaj.,"sastaviti, povezati, kombinovati",verb,,,,,,,,,,,,,,,,,1735899186,992000000,1735899186,992000000
sklopiti ugovor,sklopiti ugovor,to sign a contract,заключить контракт,To formally agree to or finalize a contract or agreement.,Формально согласиться на или заключить контракт или соглашение.,Formalno se dogovoriti ili završiti ugovor ili sporazum.,On će danas sklopiti ugovor sa novim dobavljačem.,"potpisati ugovor, zaključiti ugovor",verb,,,,,,,,,,,,,,,,,1736453985,34000000,1736453985,34000000
skrasiti se,skrasiti se,to settle down,устроиться,To find a stable or permanent place or situation for oneself.,Найти стабильное или постоянное место или ситуацию для себя.,Pronaći stabilno ili trajno mesto ili situaciju za sebe.,"Posle višegodišnjeg putovanja, napokon su se skrasili u svom novom domu.","smiriti se, uspostaviti, udomaćiti se",verb,,,,,,,,,,,,,,,,,1740476421,448000000,1740476421,448000000
skrasiti se na,skrasiti se na,to settle down on,устроиться на,To make oneself feel at home or comfortable in a place or situation.,устроиться и чувствовать себя как дома в каком-либо месте или ситуации.,smestiti se i osetiti se udobno u nekom mestu ili situaciji.,"Posle dugog perioda lutanja, odlučio je da se skrasi na obali jezera.","nastaniti se, smiriti se",verb,,,,,,,,,,,,,,,,,1740476419,60000000,1740476419,60000000
smanjiti,,reduce,уменьшить,"To make something smaller or less in size, amount, or degree.","Сделать что-то меньше по размеру, количеству или степени.","Učiniti nešto manjim ili manje u veličini, količini ili stepenu.",Moramo smanjiti troškove.,"umanjiti, skratiti, smanjivati",,,,,,,,,,,,,,,,,,,,,
smara,,to bore,надоедать,To make someone feel uninterested or tired due to monotony or dullness.,делать кого-то скучным или усталым из-за монотонности или скуки,učiniti da se neko oseća nezainteresovano ili umorno zbog monotonije ili dosade,Nemoj da me smaraš sa tim pričama.,"daviti, gnjaviti, uznemiravati",,,,,,,,,,,,,,,,,,1734448224,646000000,1734448224,646000000
smesta,,immediately,немедленно,"without any delay or hesitation, instantly.","Без задержки или колебаний, немедленно.","Bez ikakvog odlaganja, odmah.",Treba da kreneš smesta!,"odmah, istog časa, hitno",,,,,,,,,,,,,,,,,,1734449336,83000000,1734449336,83000000
snaja,,daughter-in-law,невестка,The wife of one's son or brother.,жена сына или брата,žena brata ili sina,Moja snaja je veoma ljubazna.,"snaka, nevesta",,,,,,,,,,,,,,,,,,1733489584,272000000,1733489584,272000000
sokoliti,,to encourage,ободрять,To provide someone with the motivation and confidence to do something.,давать кому-либо мотивацию и уверенность для выполнения чего-либо.,Dati nekome motivaciju i samopouzdanje za nešto.,Nastavnik nastoji sokoliti učenike kroz pohvale.,"podsticati, hvaliti, ohrabrivati, inspirisati",,,,,,,,,,,,,,,,,,1732201834,840000000,1732201834,840000000
spavati,,to sleep,спать,"To rest by allowing your eyes to close and vitamins, minerals and enzymes to work on the body.","Отдыхать с закрытыми глазами и позволять витаминам, минералам и ферментам работать с телом.","Odmarati se dozvoljavajući očima da se zatvore dok vitamini, minerali i enzimi rade na telu.",On voli spavati dugo vikendom.,"dremati, počivati, uspavati se",,,,,,,,,,,,,,,,,,,,,
sprovesti,sprovesti,to carry out,провести,"To execute or perform a task, plan, or project.","Выполнить или реализовать задачу, план или проект.","Da izvrši ili realizuje zadatak, plan ili projekat.",Oni su morali sprovesti plan do kraja meseca.,"izvršiti, realizovati, obaviti, primeniti",verb,,,,,,,,,,,,,,,,,1739812968,764000000,1739812968,764000000
sročio,,to compose,составить,To put words together in a meaningful way.,составить вместе слова в значимую структуру,sastaviti reči u smislenom obliku,On je sročio pismo sa puno pažnje.,"napisati, formulisati, konstruisati",,,,,,,,,,,,,,,,,,1734449296,662000000,1734449296,662000000
sročiti,,to compose,составить,To put words together in a meaningful way.,составить вместе слова в значимую структуру,sastaviti reči zajedno u smislenu celinu,Moramo sročiti pismo pre slanja.,"napisati, formulisati, sklopiti",,,,,,,,,,,,,,,,,,1734449861,159000000,1734449861,159000000
stablo,stablo,tree,дерево,A perennial plant with an elongated stem that supports branches and leaves.,"Многолетнее растение с длинным стволом, поддерживающим ветви и листья.",Višegodišnja biljka sa izduženim stabljikom koja podržava grane i lišće.,Stablo u dvorištu je visoko i zeleno.,"drvo, biljka",noun,n,s,stablo,stabla,stablу,stablo,stablom,stablу,stablo,stabla,stabala,stablima,stabla,stablima,stablima,stabla,1735328175,245000000,1735328175,245000000
stati,,to stop,остановиться,"To cease movement or action, to halt or come to a standstill.","перестать двигаться или делать что-либо, остановиться.","prestati se kretati ili raditi, zaustaviti se.",Moram stati da se odmorim.,"zaustaviti, prestati, stati",,,,,,,,,,,,,,,,,,,,,
stavite,,to put,поставить,To place something in a particular position or location.,разместить что-либо в определенном месте или положении.,postaviti nešto na određeno mesto ili položaj.,"Molim vas, stavite knjigu na sto.","postaviti, smestiti, namestiti",,,,,,,,,,,,,,,,,,,,,
steci,,to acquire,приобретать,To obtain or come into possession of something through effort.,приобретать что-либо путем усилий,dobiti ili doći u posed nečega kroz trud.,On je uspeo da stekne mnogo prijatelja.,"dobiti, pribaviti, postati vlasnik",,,,,,,,,,,,,,,,,,,,,
stekao,,to acquire,приобретать,To obtain or come into possession of something through effort.,приобретать что-либо путем усилий,dobiti ili doći u posed nečega kroz trud,On je stekao mnogo prijatelja tokom godina.,"dobiti, pribaviti, postati vlasnik",,,,,,,,,,,,,,,,,,,,,
sto,sto,table,стол,"A piece of furniture with a flat top and one or more legs, providing a surface for working, eating, or placing items.","Предмет мебели с плоской верхней частью и одной или несколькими ножками, предоставляющий поверхность для работы, еды или размещения предметов.","Komad nameštaja sa ravnim gornjim delom i jednim ili više nogarama, koji služi kao površina za rad, jelo ili postavljanje predmeta.",Na stolu se nalazila velika knjiga.,"tabela, stolić",noun,m,s,sto,stola,stolu,sto,stolom,stolu,sto,stolovi,stolova,stolovima,stolove,stolovima,stolovima,stolovi,1736892055,876000000,1736892055,876000000
struja,struja,electricity,электричество,The set of physical phenomena associated with the presence and motion of electric charge.,"Совокупность физических явлений, связанных с присутствием и движением электрического заряда.",Skup fizičkih fenomena povezanih sa prisustvom i kretanjem električnog naelektrisanja.,U kući je nestalo struje zbog nevremena.,"elektricitet, energija",noun,f,s,struja,struje,struji,struju,strujom,struji,strujo,struje,struja,strujama,struje,strujama,strujama,struje,1740412355,935000000,1740412355,935000000
stvarni svet,,real world,реальный мир,"The reality or existence as it actually is, not as one might imagine or wish it to be.","реальность или существование как оно есть на самом деле, а не как представляется или желается.","stvarnost ili postojanje takvo kakvo jeste, a ne kako se zamišlja ili želi.","Treba se suočiti sa stvarnim svetom, a ne živeti u iluzijama.","realnost, stvarnost, pravi svet",,,,,,,,,,,,,,,,,,1734443647,255000000,1734443647,255000000
sunce,sunce,sun,солнце,The star at the center of the solar system that provides light and heat to the planets.,"Звезда в центре солнечной системы, которая дает свет и тепло планетama.",Zvezda u centru Sunčevog sistema koja daje svetlost i toplotu planetama.,Sunce sija na nebu.,"zračno telo, nebesko telo",noun,n,s,sunce,sunca,suncu,sunce,suncem,suncu,sunce,sunca,sunca,suncima,sunca,suncima,suncima,sunca,1735343397,450000000,1735343397,450000000
suncima,suncima,suns,солнцами,Celestial ili prirodni objekti koji proizvode svetlost i toplotu.,"Небесные или природные объекты, которые излучают свет и тепло.",Nebeska tela ili prirodni objekti koji emituju svetlost i toplotu.,Na nebu su sjajna suncima.,"sunca, nebeska tela, svetlost",noun,n,p,sunce,sunca,suncu,sunce,sunce,suncu,sunce,suncima,sunca,suncima,sunca,suncima,suncima,sunca,1735343413,67000000,1735343413,67000000
sutradan,sutradan,the next day,на следующий день,Refers to the day after the current or specified day.,Относится к дню после текущего или указанного дня.,Odnosi se na dan nakon trenutnog ili navedenog dana.,"Sutra završavamo posao, a sutradan idemo na odmor.","naredni dan, sledeći dan, drugi dan",noun,m,s,sutradan,sutradana,sutradanu,sutradan,sutradanom,sutradanu,sutradane,sutradani,sutradana,sutradanima,sutradane,sutradanima,sutradanima,sutradani,1740485787,36000000,1740485787,36000000
suviše,suviše,too much,слишком,An excessive amount or degree; more than necessary or desirable.,"Избыточное количество или степень; больше, чем необходимо или желательно.",Prekomerna količina ili stepen; više nego što je potrebno ili poželjno.,Pojela sam suviše kolača i sada me boli stomak.,"prekomerno, više, preterano",adjective,n,s,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,suviše,1738004636,456000000,1738004636,456000000
svetionik,svetionik,lighthouse,маяк,"A tall structure with a light at the top, located by the sea, used to warn and direct ships at sea.","Высокая постройка с огнём на вершине, расположенная у моря, используется для предупреждения и направления кораблей.","Visoka građevina sa svetlom na vrhu, smeštena pored mora, koja služi za upozoravanje i usmeravanje brodova.",Svetionik je bio vidljiv sa obale čak i tokom magle.,"lanterna, vatar",noun,m,s,svetionik,svetionika,svetioniku,svetionik,svetionikom,svetioniku,svetioniče,svetionici,svetionika,svetionicima,svetionike,svetionicima,svetionicima,svetionici,1740485818,43000000,1740485818,43000000
svira,svira,plays,играет,"To perform music or produce sound, typically using a musical instrument.","Производить музыку или звук, обычно с помощью музыкального инструмента.","Izvoditi muziku ili proizvoditi zvuk, obično koristeći muzički instrument.",On svira gitaru svaki dan u parku.,"izvodi, izvodi muziku, peva, muzicira",verb,,,,,,,,,,,,,,,,,1736453917,325000000,1736453917,325000000
talas,talas,wave,волна,"A movement or series of movements made in water, often caused by the wind.","Движение или серия движений в воде, часто вызванное ветром.","Pokret ili niz pokreta u vodi, često uzrokovan vetrom.",Na moru su bili visoki talasi tokom oluje.,"zavesa, talasanje, pokret",noun,m,s,talas,talasa,talasu,talas,talasom,talasu,talas,talasi,talasa,talasima,talase,talasima,talasima,talasi,1735328214,867000000,1735328214,867000000
tata,tata,dad,папа,A male parent.,Мужской родитель.,Muškarac koji ima decu.,Moj tata je najbolji na svetu.,"otac, baba",noun,masculine,singular,tata,tatin,tati,tatu,tatom,tati,tata,tate,tata,tatama,tate,tatama,tata,tate,1735308356,656000000,1735308356,656000000
tašta,,mother-in-law,тёща,The mother of one's spouse.,мать жены или мужа.,majka supružnika.,Moja tašta dolazi na večeru večeras.,"svekra, prija",,,,,,,,,,,,,,,,,,1733489616,208000000,1733489616,208000000
tegoba,tegoba,discomfort,дискомфорт,A state of being uneasy or experiencing mild pain or discomfort.,Состояние неудобства или ощущения лёгкой боли или дискомфорта.,Stanje nelagodnosti ili doživljavanja blage boli ili tegobe.,Posle operacije osećao je tegobu u stomaku.,"nelagodnost, neprijatnost, neprijatnost",noun,f,s,tegoba,tegobe,tegobi,tegobu,tegom,tegobi,tegobo,tegobe,tegoba,tegoama,tegobe,tegom,tegobama,tegobe,1739813058,505000000,1739813058,505000000
that's funny,that's funny,that's funny,это смешно,Something that evokes laughter or amusement.,"Что-то, что вызывает смех или развлечение.",Nešto što izaziva smeh ili zabavu.,Njen vic je bio tako smešan da smo svi pukli od smeha.,"smešno, urnebesno, veselo",other,,,,,,,,,,,,,,,,,1743058645,989000000,1743058645,989000000
the name of colors in serbian,crvena,red,красный,"A color resembling that of blood, strawberries, or rubies.","Цвет, похожий на цвет крови, клубники или рубинов.","Boja koja podseća na boju krvi, jagoda ili rubina.",Jabuka je crvena.,"rumena, grimizna",adjective,f,s,crvena,crvene,crvenoj,crvenu,crvenom,crvenoj,crvena,crvene,crvenih,crvenim,crvene,crvenim,crvenim,crvene,1737455447,962000000,1737455447,962000000
to je to,to je to,that's it,вот и всё,"An expression used to convey that something is finished, complete, or definitive.","Выражение, используемое для того, чтобы передать, что что-то закончено, завершено или определено.","Izraz koji se koristi da označi da je nešto završeno, potpuno ili konačno.","Nakon što smo sve završili, rekao je: 'To je to!'","to završava, to zaključuje, to zaključak",other,,,,,,,,,,,,,,,,,1744572605,522000000,1744572605,522000000
toe je toe,to je to,that's it,вот и всё,"An expression used to indicate that something is finished, complete, or definitive.","Выражение, используемое для обозначения того, что что-то завершено, закончено или окончательно.","Izraz koji se koristi da označi da je nešto završeno, kompletno ili definitivno.","Sastanak je trajao dva sata, ali sada je završen — to je to.","to je sve, gotovo",other,,,,,,,,,,,,,,,,,1744572604,469000000,1744572604,469000000
tropski,tropski,tropical,тропический,Relating to or situated in the tropics.,Относящийся к тропикам или расположенный в тропиках.,Odnosan na tropske krajeve ili smešten u tropskim predelima.,U tropskim predelima kiše padaju skoro svakodnevno.,"ekvatorski, klimatski",adjective,m,s,tropski,tropskog,tropskom,tropski,tropskim,tropskom,tropski,tropski,tropskih,tropskim,tropske,tropskim,tropskim,tropski,1740412903,125000000,1740412903,125000000
